,preprocessor_num__bill_length_mm,preprocessor_num__bill_depth_mm,preprocessor_num__flipper_length_mm,preprocessor_num__body_mass_g,preprocessor_cat__island_Biscoe,preprocessor_cat__island_Dream,preprocessor_cat__island_Torgersen,preprocessor_cat__sex_female,preprocessor_cat__sex_male
0,-0.8698347364022107,0.3449098746922757,-1.0281419389993958,-1.2442693368811686,1.0,0.0,0.0,1.0,0.0
1,0.29333091323747307,-1.5380287236117596,0.6879385756370299,0.8733784860472271,1.0,0.0,0.0,1.0,0.0
2,0.7891064360347155,-1.029126399745804,1.5086727348109725,2.7343417243782415,1.0,0.0,0.0,0.0,1.0
3,0.2170577558840515,-1.3853580264519725,0.6133263793484897,0.8092073398978818,1.0,0.0,0.0,1.0,0.0
4,-0.7554250003720776,0.701141501398446,-0.8789175464223152,-1.0838414715078053,0.0,0.0,1.0,0.0,1.0
5,0.6937649893429382,-0.7746752378128262,0.5387141830599494,1.5150899475406805,1.0,0.0,0.0,0.0,1.0
6,-1.9185906500117613,0.3449098746922757,-0.804305350133775,-0.9234136061344419,1.0,0.0,0.0,1.0,0.0
7,1.1323356441251133,0.8029219661716368,0.1656532016172482,-0.0891887061929527,0.0,1.0,0.0,0.0,1.0
8,-0.2977860562515467,-1.029126399745804,0.9117751645026506,0.6166939014498458,1.0,0.0,0.0,1.0,0.0
9,0.08357973051556268,-0.11310221678708358,-0.35663217240253353,-0.8592424599850966,0.0,1.0,0.0,1.0,0.0
10,-1.3846785485378088,0.548470804238659,-1.998100490750419,-0.9875847522837873,1.0,0.0,0.0,1.0,0.0
11,-0.6410152643419446,-1.2835775616787817,0.6879385756370299,0.6808650475991912,1.0,0.0,0.0,1.0,0.0
12,0.4840138066210278,-1.3853580264519725,1.060999557079731,1.5792610936900258,1.0,0.0,0.0,0.0,1.0
13,-0.35499092426661255,0.9047024309448275,-0.28201997611399326,0.7771217668232092,1.0,0.0,0.0,0.0,1.0
14,-0.35499092426661255,0.6502512690118497,-0.6550809575566945,-0.0891887061929527,0.0,1.0,0.0,0.0,1.0
15,0.08357973051556268,-1.7924798855447373,0.9863873607911908,0.6166939014498458,1.0,0.0,0.0,1.0,0.0
16,1.323018537508668,0.44669033946546827,0.0164288090401677,-0.15335985234229804,0.0,1.0,0.0,0.0,1.0
17,-0.27871776691319095,-1.6906994207715456,1.2102239496568117,0.9375496321965725,1.0,0.0,0.0,1.0,0.0
18,-0.8316981577254993,-0.11310221678708358,-0.804305350133775,-0.5704723023130427,0.0,1.0,0.0,0.0,1.0
19,-1.7279077566282066,0.3449098746922757,-0.804305350133775,-0.9234136061344419,0.0,1.0,0.0,1.0,0.0
20,-1.4418834165528747,0.6502512690118497,-0.1327955835369128,0.3920948899271372,0.0,1.0,0.0,0.0,1.0
21,0.12171630919227415,-1.6906994207715456,0.9863873607911908,0.29583817070311924,1.0,0.0,0.0,1.0,0.0
22,-0.3168543455899024,-1.4362482588385679,1.284836145945352,0.5525227553005005,1.0,0.0,0.0,1.0,0.0
23,-1.4800199952295863,0.29401964230568123,-0.7296931538452347,-1.0517558984331326,0.0,1.0,0.0,1.0,0.0
24,0.14078459853062855,-1.334467794065377,0.6879385756370299,0.03915358610573794,1.0,0.0,0.0,1.0,0.0
25,0.6556284106662267,0.1413489451458942,-0.7296931538452347,-0.9875847522837873,0.0,1.0,0.0,0.0,1.0
26,-1.5372248632446521,-0.36755337872006133,-1.1773663315764762,-0.9875847522837873,0.0,1.0,0.0,1.0,0.0
27,0.19798946654569574,-2.046931047477715,0.7625507719255702,0.4241804630018099,1.0,0.0,0.0,1.0,0.0
28,0.12171630919227415,0.03956848037270345,-0.5804687612681543,-0.730900167686406,0.0,1.0,0.0,1.0,0.0
29,-1.3274736805227416,0.701141501398446,-0.804305350133775,-0.6025578753877153,0.0,1.0,0.0,1.0,0.0
30,1.1514039334634691,-0.46933384349325213,1.4340605385224323,2.3493148474821695,1.0,0.0,0.0,0.0,1.0
31,-0.7554250003720776,0.9047024309448275,-1.401202920442097,-0.9554991792091145,0.0,1.0,0.0,0.0,1.0
32,0.2742626238991174,-1.2326873292921854,1.2102239496568117,1.3225765090926445,1.0,0.0,0.0,1.0,0.0
33,-0.7554250003720776,0.4975805718520627,-0.6550809575566945,-0.15335985234229804,1.0,0.0,0.0,0.0,1.0
34,-1.0223810511090539,0.24312940991908494,-0.5804687612681543,-1.2442693368811686,1.0,0.0,0.0,1.0,0.0
35,-0.8126298683871448,0.5993610366252535,-0.43124436869107374,-0.345873290790334,0.0,1.0,0.0,0.0,1.0
36,-1.25120052316932,0.3449098746922757,-0.804305350133775,-1.0838414715078053,0.0,0.0,1.0,1.0,0.0
37,-1.7279077566282066,0.29401964230568123,-0.43124436869107374,-0.9234136061344419,0.0,1.0,0.0,1.0,0.0
38,0.17892117720734002,2.1769582406097165,-0.5058565649796141,0.03915358610573794,0.0,0.0,1.0,0.0,1.0
39,-1.1177224978008313,1.2100438252644017,-0.43124436869107374,0.6487794745245186,0.0,0.0,1.0,0.0,1.0
